claim_id,lob,loss_cause,policy_type,loss_state,insured_state,geographic_mismatch,stp_flag,reported_loss_amount,n_exposures_at_fnol,exposure_added_within_48h,fnol_date,close_date,fnol_hour,fnol_day_of_week,final_group,complexity,assignment_count,pct_manual,pct_system,pct_user_auto,n_unique_adjusters,same_adjuster_returned,final_adjuster_appeared_earlier,avg_hrs_between_events,group_label
CP-0001,Commercial Property,Flood - Sewer Backup,BOP,MD,IL,1,Y,120500.0,2,1,04/01/2024,08/26/2024,9,4,B,High,3.0,0.333,0.667,0.0,3.0,0.0,0.0,88.0,2
CP-0002,Commercial Property,Equipment Breakdown,Standalone Property,WV,IN,1,N,42600.0,1,0,10/07/2024,10/25/2024,7,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0003,Commercial Property,Vandalism,Standalone Property,PA,VA,1,N,22300.0,1,0,03/30/2024,07/11/2024,12,3,B,Medium,4.0,0.75,0.25,0.0,4.0,0.0,0.0,102.3,2
CP-0004,Commercial Property,Business Interruption,Commercial Package,NY,VA,1,N,277400.0,1,0,01/20/2024,05/05/2024,20,0,B,High,4.0,0.5,0.5,0.0,3.0,1.0,1.0,104.3,2
CP-0005,Commercial Property,Flood - Sewer Backup,BOP,IL,PA,1,N,76100.0,3,0,06/11/2024,11/18/2024,14,1,C,High,11.0,0.455,0.545,0.182,6.0,1.0,1.0,83.6,3
CP-0006,Commercial Property,Wind/Hail - Exterior,Commercial Package,OH,WV,1,N,68100.0,3,1,03/04/2024,12/27/2024,20,6,C,High,11.0,0.455,0.545,0.091,3.0,1.0,1.0,63.9,3
CP-0007,Commercial Property,Flood - Sewer Backup,Standalone Property,NC,NY,1,N,85200.0,1,0,08/18/2024,06/07/2025,18,2,C,High,6.0,0.833,0.167,0.167,3.0,0.0,0.0,56.6,3
CP-0008,Commercial Property,Wind/Hail - Exterior,BOP,MD,IN,1,N,27700.0,2,1,10/20/2024,04/27/2025,8,5,C,High,8.0,0.625,0.375,0.125,3.0,1.0,1.0,70.4,3
CP-0009,Commercial Property,Flood - Surface,Standalone Property,KY,WV,1,N,84400.0,1,0,03/09/2024,01/30/2025,8,3,C,High,12.0,0.833,0.167,0.083,6.0,1.0,1.0,95.0,3
CP-0010,Commercial Property,Flood - Surface,Standalone Property,OH,NC,1,Y,72000.0,2,0,11/26/2024,05/03/2025,10,0,C,High,11.0,0.818,0.182,0.091,5.0,1.0,1.0,93.8,3
